15-0-10-1,111
15-0-11-0,299
15-0-11-1,299
15-0-12-0,299
15-0-12-1,299
15-0-13-0,298
15-0-13-1,298
15-0-2-0,299
15-0-2-1,299
15-0-4-0,299
15-0-4-1,299
15-0-5-0,111
15-0-5-1,111
15-0-6-0,299
15-0-6-1,299
15-0-7-0,300
15-0-7-1,300
15-0-8-0,299
15-0-8-1,299
15-0-9-0,298
15-0-9-1,298
15-1-0-0,299
15-1-0-1,299
15-1-3-0,111
15-1-3-1,111
15-2-1-0,298
15-2-1-1,298
15-2-10-0,111
15-2-10-1,111
15-2-11-0,299
15-2-11-1,299
15-2-12-0,111
15-2-12-1,111
15-2-13-0,299
15-2-13-1,299
15-2-2-0,298
15-2-2-1,298
15-2-3-0,298
15-2-3-1,298
15-2-4-0,298
15-2-4-1,298
15-2-6-0,298
15-2-6-1,298
15-2-7-0,298
15-2-7-1,298
15-2-8-0,299
15-2-8-1,299
15-2-9-0,299
15-2-9-1,299
15-3-0-0,111
15-3-0-1,111
15-3-1-0,298
15-3-1-1,298
15-3-2-0,299
15-3-2-1,299
15-3-3-0,300
15-3-3-1,300
15-3-4-0,299
15-3-4-1,299
15-3-5-0,111
15-3-5-1,111
15-3-6-0,298
15-3-6-1,298
16-0-0-0,299
16-0-0-1,299
16-0-1-0,299
16-0-1-1,299
16-0-10-0,299
16-0-10-1,299
16-0-11-0,298
16-0-11-1,298
16-0-12-0,298
16-0-12-1,298
16-0-13-0,300
16-0-13-1,300
16-0-3-0,299
16-0-3-1,299
16-0-4-0,111
16-0-4-1,111
16-0-6-0,299
16-0-6-1,299
16-0-7-0,300
16-0-7-1,300
16-0-9-0,111
16-0-9-1,111
16-1-0-0,298
16-1-0-1,298
16-1-1-0,299
16-1-1-1,299
16-1-3-0,298
16-1-3-1,298
16-1-4-0,299
16-1-4-1,299
16-1-5-0,111
16-1-5-1,111
16-1-6-0,111
16-1-6-1,111
16-1-7-0,299
16-1-7-1,299
16-1-8-0,298
16-1-8-1,298
16-1-9-0,298
16-1-9-1,298
16-10-0-0,298
16-10-0-1,298
16-10-1-0,111
16-10-1-1,111
16-10-2-0,299
16-10-2-1,299
16-10-3-0,299
16-10-3-1,299
16-10-4-0,299
16-10-4-1,299
16-10-5-0,111
16-10-5-1,111
16-10-6-0,299
16-10-6-1,299
16-10-7-0,298
16-10-7-1,298
16-10-8-0,300
16-10-8-1,300
16-10-9-0,300
16-10-9-1,300
16-2-0-0,298
16-2-0-1,298
16-2-1-0,299
16-2-1-1,299
16-2-2-0,299
16-2-2-1,299
16-2-3-0,299
16-2-3-1,299
16-3-0-0,300
16-3-0-1,300
16-3-1-0,111
16-3-1-1,111
16-3-2-0,299
16-3-2-1,299
16-3-3-0,111
16-3-3-1,111
16-4-0-0,298
16-4-0-1,298
16-4-1-0,299
16-4-1-1,299
16-4-2-0,111
16-4-2-1,111
16-4-3-0,299
16-4-3-1,299
16-4-4-0,299
16-4-4-1,299
16-4-5-0,299
16-4-5-1,299
